Customer Tier,Project Type,Category,Products/Devices,Quantity,Individual Hardware Revenue,Hardware Revenue,Hardware COGS,Labor Hours,Labor Revenue,Notes,Unnamed: 11
Enthusiast,Smaller Improvement,Entertainment (TV/Theater),65″ OLED TV (1); Sonos Beam Gen 2 (1),,,1949.0,1461.75,7.0,875.0,"65″ OLED TV at $1,500, Sonos Beam Gen 2 at $449; high-definition visuals and sound",7 hours at $125/hour for TV and soundbar setup
Enthusiast,Smaller Improvement,Security System (Alarm),"Z-Wave sensors: Door/Window (3), Motion (2)",,,150.0,124.5,3.5,437.5,"Three door/window sensors at $30 each, two motion sensors at $30 each; Z-Wave compatible",3.5 hours at $125/hour for five sensors
Enthusiast,Smaller Improvement,Surveillance Cameras,UniFi G4 Doorbell (1); G4 Bullet (1),,,398.0,330.34,5.0,625.0,"UniFi G4 Doorbell at $199, G4 Bullet at $199; weatherproof for indoor/outdoor use",5 hours at $125/hour for doorbell and outdoor camera
Enthusiast,Smaller Improvement,Air Quality & Ventilation,AirThings Wave Plus (1),,,299.0,248.17,1.0,125.0,"Monitors radon, CO2, VOCs, humidity, temperature, and air pressure",1 hour at $125/hour for one air quality monitor
Enthusiast,Smaller Improvement,Lighting & Controls,Lutron Caséta: Smart Bridge (1); Dimmers (6),,,370.0,296.0,4.0,500.0,"Smart Bridge at $70, six dimmers at $50 each; app and voice control",4 hours at $125/hour for six dimmers and bridge
Enthusiast,Smaller Improvement,Climate Control,Ecobee Lite smart thermostat with additional remote temperature sensor,,,220.0,187.0,2.0,250.0,"Ecobee Lite at $170, remote sensor at $50; Wi-Fi control and energy savings",2 hours at $125/hour for thermostat and sensor
Enthusiast,Smaller Improvement,Blinds & Window Automation,Optional upgrade: Motorized shade (1) – IKEA FYRTUR or Lutron Serena (battery),,,150.0,124.5,1.5,187.5,IKEA FYRTUR at $150; smart window automation,1.5 hours at $125/hour for motorized shade installation
Enthusiast,Smaller Improvement,Smart Irrigation,Smart sprinkler controller (1) – RainMachine Touch HD 8 or Rachio 3 (8-zone),,,300.0,249.0,2.5,312.5,Average of RainMachine Touch HD 8 at $400 and Rachio 3 at $230; 8-zone controller,2.5 hours at $125/hour for sprinkler controller setup
Luxury,Renovation,Low-Voltage Wiring,Retrofit Cat6 to critical points (~75% of new build); Reuse existing wiring where possible,,,300.0,249.0,60.0,7500.0,"Assumes 300m Cat6 ($150), patch panel ($100), minor hardware ($50).","Extensive wiring for network, including running and terminating cables (25 hours, team of 2)."
Luxury,Renovation,Networking & Wi-Fi,Cisco or Ubiquiti enterprise network; Ruckus Wireless APs (6),,,6380.0,5295.4,30.0,3750.0,"UDM Pro: $380, Switch: $150, Ruckus APs: $1,000x6 ($6,000).","Installation and configuration of router, switch, and access points (12.5 hours, team of 2)."
Luxury,Renovation,Multi-Room Audio,Reuse existing speakers; AudioControl 8-zone amp (1) or Sonos Amps; Sonos Five (for unwired rooms),,,4098.0,3401.34,24.0,3000.0,"Amp: $3,000 (AudioControl), Sonos Five: $549x2 ($1,098).","Installation of audio amplifiers and speakers, including wiring and setup (10 hours, team of 2)."
Luxury,Renovation,Entertainment (TV/Theater),7.1 Atmos soundbar (e.g. Sennheiser Ambeo); 83″ OLED TV; Additional TVs with local streaming,,,10860.0,8145.0,42.0,5250.0,"Soundbar: $2,500, TV: $3,500, Additional TVs: $4,700, Streaming: $160.","Setup of home theater and TV systems, including soundbar, TV, and additional TVs (17.5 hours, team of 2)."
Luxury,Renovation,Security System (Alarm),DMP XT or upgraded existing panel with Envisalink; Additional wireless sensors,,,1030.0,854.9,8.4,1050.0,"Panel: $300, Envisalink: $130, Sensors: $40x15 ($600).",Installation of alarm panel and wireless sensors (7 hours).
Luxury,Renovation,Surveillance Cameras,Mix of PoE and wireless cams (12-16 total); UniFi Protect or Blue Iris NVR,,,1750.0,1452.5,33.6,4200.0,"NVR: $300, Cameras: $180x12 ($2,160), HDD: $280. Prices vary by model.","Mounting and configuration of surveillance cameras and NVR, including cable runs (14 hours, team of 2)."
Luxury,Renovation,Access Control,August Smart Lock Pro or Level Lock (main doors); DoorBird or retrofitted intercom; MyQ Gate,,,1070.0,888.1,6.0,750.0,"Locks: $170x3 ($510), Intercom: $400, Gate: $300.","Installation of smart locks, intercom, and gate opener (5 hours)."
Luxury,Renovation,Air Quality & Ventilation,ERV retrofit if possible; Smart humidifiers; Blueair purifiers; IAQ sensors (multiple),,,2700.0,2241.0,30.0,3750.0,"ERV: $2,000, Humidifier: $100, Purifier: $200, Sensors: $100x4 ($400).","Setup of ERV system, humidifiers, purifiers, and air quality sensors (12.5 hours, team of 2)."
Luxury,Renovation,Safety (Smoke/CO),Reuse wired smoke alarms; Add smart detectors where needed,,,200.0,166.0,3.0,375.0,Smart Detectors: $100x2 ($200).,Installation of smart smoke/CO detectors (2.5 hours).
Luxury,Renovation,Infrastructure (Water),Shutoff on major branches; Wired/wireless leak sensors; Sump pump integration,,,1850.0,1387.5,16.8,2100.0,"Shutoff: $200x2 ($400), Sensors: $50x5 ($250), Pump: $1,200.","Setup of shutoff valves, leak sensors, and sump pump integration (7 hours, team of 2)."
Luxury,Renovation,Lighting & Controls,Lutron HomeWorks QSX or RadioRA3: Dimmers (50+); Keypads matching decor,,,2650.0,2120.0,60.0,7500.0,"Dimmers: $70x50 ($3,500), Keypads: $150x3 ($450), Repeater: $400.","Installation and programming of Lutron lighting control system (25 hours, team of 2)."
Luxury,Renovation,Climate Control,Ecobee thermostats; Smart TRVs for radiators; Sensibo for mini-splits,,,1080.0,918.0,6.0,750.0,"Thermostats: $250x2 ($500), TRVs: $80x4 ($320), Sensibo: $100x2 ($200).","Setup of smart thermostats, TRVs, and Sensibo controllers (5 hours)."
Luxury,Renovation,Blinds & Windows,Lutron Serena battery shades; Retrofit motors for existing blinds,,,2500.0,2000.0,16.8,2100.0,"Shades: $300x6 ($1,800), Motors: $400.","Installation of motorized shades and retrofitting motors for existing blinds (7 hours, team of 2)."
Luxury,Renovation,Smart Irrigation,Rachio controllers (multiple if needed); Flow meter,,,450.0,373.5,4.2,525.0,"Rachio: $250, Flow Meter: $200.",Setup of smart irrigation controllers and flow meter (3.5 hours).
Luxury,Renovation,Entertainment (TV/Theater),Kaleidescape - Ultimate 4K Lossless Streaming Home Cinema Server + 88TB Storage,1.0,103995.0,103995.0,77996.25,10.0,1250.0,,
Luxury,Smaller Improvement,Home Assistant Hub,Home Assistant NUC Bundle (1),,,450.0,373.5,,0.0,Setting up hardware and software configuration.,
Luxury,Smaller Improvement,Low-Voltage Wiring,Cat6 to front gate; Wire to new siren,,,900.0,747.0,,0.0,Running Cat6 cable to front gate and wire to new siren.,
Luxury,Smaller Improvement,Networking & Wi-Fi,UniFi Dream Machine (1); UniFi mesh extender (1),,,300.0,249.0,,0.0,Setting up and configuring network devices.,
Luxury,Smaller Improvement,Multi-Room Audio,Not included,,,0.0,0.0,,0.0,No hardware to install.,
Luxury,Smaller Improvement,Entertainment (TV/Theater),Integrate existing TVs for camera feeds,,,0.0,0.0,,0.0,No hardware to install.,
Luxury,Smaller Improvement,Security System (Alarm),Envisalink module (1); Unifi All-In-One Sensor (2); Smart siren/strobe (1),,,750.0,622.5,,0.0,Installing and configuring alarm system components.,
Luxury,Smaller Improvement,Surveillance Cameras,G5 Pro camera (1); AI Dome camera (1),,,600.0,498.0,,0.0,Mounting and connecting surveillance cameras.,
Luxury,Smaller Improvement,Access Control,Access Hub (4); Access Electric Lock (4); Access Reader Pro (1); G2 Reader (3),,,1800.0,1494.0,,0.0,Installing access control system for 4 doors.,
Luxury,Smaller Improvement,Air Quality & Ventilation,AirThings Wave Plus (1),,,150.0,124.5,,0.0,Setting up air quality monitor.,
Luxury,Smaller Improvement,Safety (Smoke/CO),Z-Wave Smoke/CO (1); Smart water leak sensor (1),,,300.0,249.0,,0.0,Installing safety detectors.,
Luxury,Smaller Improvement,Infrastructure (Water),Leak sensor near water heater (1),,,150.0,112.5,,0.0,Placing and configuring leak sensor.,
Luxury,Smaller Improvement,Lighting & Controls,Lutron Caseta switches (2); Smart switch for landscape lighting (1),,,450.0,360.0,,0.0,Replacing and configuring smart switches.,
Luxury,Smaller Improvement,Climate Control,Integrate existing thermostat if smart,,,0.0,0.0,,0.0,No hardware to install.,
Luxury,Smaller Improvement,Blinds & Windows,Not included,,,0.0,0.0,,0.0,No hardware to install.,
Luxury,Smaller Improvement,Smart Irrigation,Not included,,,0.0,0.0,,0.0,No hardware to install.,
